Season,Team,Player,Position,Nationality
2010-2011,Wigan Athletic,Antolín Alcaraz,,
2010-2011,Wigan Athletic,Gary Caldwell,,
2010-2011,Wigan Athletic,Steven Caldwell,,
2010-2011,Wigan Athletic,Steve Gohouri,,
2010-2011,Wigan Athletic,Adrián López,,
2010-2011,Wigan Athletic,Jordan Robinson,,
2010-2011,Wigan Athletic,Román Golobart,,
2010-2011,Wigan Athletic,Maynor Figueroa,,
2010-2011,Wigan Athletic,Jordan Mustoe,,
2010-2011,Wigan Athletic,Ronnie Stam,,
2010-2011,Wigan Athletic,Emmerson Boyce,,
2010-2011,Wigan Athletic,Adam Buxton,,
2010-2011,Wigan Athletic,Hendry Thomas,,
2010-2011,Wigan Athletic,Mohamed Diamé,,
2010-2011,Wigan Athletic,James McCarthy,,
2010-2011,Wigan Athletic,Ben Watson,,
2010-2011,Wigan Athletic,Tom Cleverley,,
2010-2011,Wigan Athletic,Jordi Gómez,,
2010-2011,Wigan Athletic,James McArthur,,
2010-2011,Wigan Athletic,Callum Morris,,
2010-2011,Wigan Athletic,Daniel Redmond,,
2010-2011,Wigan Athletic,Jason Koumas,,
2010-2011,Wigan Athletic,Daniël de Ridder,,
2010-2011,Wigan Athletic,Charles N'Zogbia,,
2010-2011,Wigan Athletic,Victor Moses,,
2010-2011,Wigan Athletic,Callum McManaman,,
2010-2011,Wigan Athletic,Hugo Rodallega,,
2010-2011,Wigan Athletic,Mauro Boselli,,
2010-2011,Wigan Athletic,Franco Di Santo,,
2010-2011,Wigan Athletic,Jason Scotland,,
2010-2011,Wigan Athletic,Conor Sammon,,
2010-2011,Blackpool FC,Matt Gilks,,
2010-2011,Blackpool FC,Richard Kingson,,
2010-2011,Blackpool FC,Paul Rachubka,,
2010-2011,Blackpool FC,Mark Halstead,,
2010-2011,Blackpool FC,Chris Kettings,,
2010-2011,Blackpool FC,Josh Roberts,,
2010-2011,Blackpool FC,Ian Evatt,,
2010-2011,Blackpool FC,Craig Cathcart,,
2010-2011,Blackpool FC,Chris Basham,,
2010-2011,Blackpool FC,Rob Edwards,,
2010-2011,Blackpool FC,Dekel Keinan,,
2010-2011,Blackpool FC,Alex Baptiste,,
2010-2011,Blackpool FC,Ashley Eastham,,
2010-2011,Blackpool FC,Biko Bradnock-Brennan,,
2010-2011,Blackpool FC,Stephen Crainey,,
2010-2011,Blackpool FC,Salaheddine Sbaï,,
2010-2011,Blackpool FC,Adam Dodd,,
2010-2011,Blackpool FC,Neal Eardley,,
2010-2011,Blackpool FC,Danny Coid,,
2010-2011,Blackpool FC,David Vaughan,,
2010-2011,Blackpool FC,Malaury Martin,,
2010-2011,Blackpool FC,Pa Modou Jobe,,
2010-2011,Blackpool FC,Charlie Adam,,
2010-2011,Blackpool FC,Ludovic Sylvestre,,
2010-2011,Blackpool FC,Keith Southern,,
2010-2011,Blackpool FC,Jason Puncheon,,
2010-2011,Blackpool FC,Stephen Husband,,
2010-2011,Blackpool FC,Liam Tomsett,,
2010-2011,Blackpool FC,Kingsley Francis-Reynolds,,
2010-2011,Blackpool FC,Andy Reid,,
2010-2011,Blackpool FC,David Carney,,
2010-2011,Blackpool FC,Elliot Grandin,,
2010-2011,Blackpool FC,Jason Euell,,
2010-2011,Blackpool FC,Ishmel Demontagnac,,
2010-2011,Blackpool FC,Gary Taylor-Fletcher,,
2010-2011,Blackpool FC,Matt Phillips,,
2010-2011,Blackpool FC,Tom Barkhuizen,,
2010-2011,Blackpool FC,Billy Clarke,,
2010-2011,Blackpool FC,Luke Varney,,
2010-2011,Blackpool FC,Sergey Kornilenko,,
2010-2011,Blackpool FC,DJ Campbell,,
2010-2011,Blackpool FC,Marlon Harewood,,
2010-2011,Blackpool FC,James Beattie,,
2010-2011,Blackpool FC,Brett Ormerod,,
2010-2011,Blackpool FC,Louis Almond,,
2011-2012,Man City,Joe Hart,,
2011-2012,Man City,Costel Pantilimon,,
2011-2012,Man City,Stuart Taylor,,
2011-2012,Man City,Vincent Kompany,,
2011-2012,Man City,Joleon Lescott,,
2011-2012,Man City,Stefan Savic,,
2011-2012,Man City,Kolo Touré,,
2011-2012,Man City,Nedum Onuoha,,
2011-2012,Man City,Dedryck Boyata,,
2011-2012,Man City,Karim Rekik,,
2011-2012,Man City,Gaël Clichy,,
2011-2012,Man City,Aleksandar Kolarov,,
2011-2012,Man City,Wayne Bridge,,
2011-2012,Man City,Razak Nuhu,,
2011-2012,Man City,Micah Richards,,
2011-2012,Man City,Pablo Zabaleta,,
2011-2012,Man City,Nigel de Jong,,
2011-2012,Man City,Gareth Barry,,
2011-2012,Man City,Michael Johnson,,
2011-2012,Man City,Owen Hargreaves,,
2011-2012,Man City,Yaya Touré,,
2011-2012,Man City,James Milner,,
2011-2012,Man City,David Pizarro,,
2011-2012,Man City,Abdul Razak,,
2011-2012,Man City,David Silva,,
2011-2012,Man City,Samir Nasri,,
2011-2012,Man City,Joan Román,,
2011-2012,Man City,Denis Suárez,,
2011-2012,Man City,Luca Scapuzzi,,
2011-2012,Man City,Adam Johnson,,
2011-2012,Man City,Shaun Wright-Phillips,,
2011-2012,Man City,Sergio Agüero,,
2011-2012,Man City,Mario Balotelli,,
2011-2012,Man City,Edin Džeko,,
2011-2012,Man City,Emmanuel Adebayor,,
2011-2012,Man City,Carlos Tevez,,
2011-2012,Man United,David de Gea,,
2011-2012,Man United,Anders Lindegaard,,
2011-2012,Man United,Tomasz Kuszczak,,
2011-2012,Man United,Ben Amos,,
2011-2012,Man United,Nemanja Vidic‎,,
2011-2012,Man United,Phil Jones,,
2011-2012,Man United,Chris Smalling,,
2011-2012,Man United,Jonny Evans,,
2011-2012,Man United,Rio Ferdinand,,
2011-2012,Man United,Michael Keane,,
2011-2012,Man United,Reece Brown,,
2011-2012,Man United,Tom Thorpe,,
2011-2012,Man United,Patrice Evra,,
2011-2012,Man United,Marnick Vermijl,,
2011-2012,Man United,Zeki Fryers,,
2011-2012,Man United,Antonio Valencia,,
2011-2012,Man United,Ashley Young,,
2011-2012,Man United,Rafael,,
2011-2012,Man United,Fábio,,
2011-2012,Man United,Ritchie De Laet,,
2011-2012,Man United,Michael Carrick,,
2011-2012,Man United,Anderson,,
2011-2012,Man United,Darren Fletcher,,
2011-2012,Man United,Tom Cleverley,,
2011-2012,Man United,Darron Gibson,,
2011-2012,Man United,Paul Pogba,,
2011-2012,Man United,Paul Scholes,,
2011-2012,Man United,Larnell Cole,,
2011-2012,Man United,Ryan Giggs,,
2011-2012,Man United,Ji-sung Park,,
2011-2012,Man United,Ravel Morrison,,
2011-2012,Man United,Jesse Lingard,,
2011-2012,Man United,Nani,,
2011-2012,Man United,Wayne Rooney,,
2011-2012,Man United,Chicharito,,
2011-2012,Man United,Danny Welbeck,,
2011-2012,Man United,Dimitar Berbatov,,
2011-2012,Man United,Mame Diouf,,
2011-2012,Man United,Federico Macheda,,
2011-2012,Man United,Michael Owen,,
2011-2012,Man United,Will Keane,,
2011-2012,Chelsea FC,Petr Cech,,
2011-2012,Chelsea FC,Ross Turnbull,,
2011-2012,Chelsea FC,Hilário,,
2011-2012,Chelsea FC,Jamal Blackman,,
2011-2012,Chelsea FC,David Luiz,,
2011-2012,Chelsea FC,John Terry,,
2011-2012,Chelsea FC,Gary Cahill,,
2011-2012,Chelsea FC,Alex,,
2011-2012,Chelsea FC,Ashley Cole,,
2011-2012,Chelsea FC,Ryan Bertrand,,
2011-2012,Chelsea FC,Branislav Ivanovic,,
2011-2012,Chelsea FC,Bosingwa,,
2011-2012,Chelsea FC,Paulo Ferreira,,
2011-2012,Chelsea FC,Michael Essien,,
2011-2012,Chelsea FC,John Obi Mikel,,
2011-2012,Chelsea FC,Oriol Romeu,,
2011-2012,Chelsea FC,Lucas Piazón,,
2011-2012,Chelsea FC,Sam Hutchinson,,
2011-2012,Chelsea FC,Nathaniel Chalobah,,
2011-2012,Chelsea FC,Ramires,,
2011-2012,Chelsea FC,Raúl Meireles,,
2011-2012,Chelsea FC,Frank Lampard,,
2011-2012,Chelsea FC,Josh McEachran,,
2011-2012,Chelsea FC,Juan Mata,,
2011-2012,Chelsea FC,Salomon Kalou,,
2011-2012,Chelsea FC,Florent Malouda,,
2011-2012,Chelsea FC,Yossi Benayoun,,
2011-2012,Chelsea FC,Fernando Torres,,
2011-2012,Chelsea FC,Daniel Sturridge,,
2011-2012,Chelsea FC,Romelu Lukaku,,
2011-2012,Chelsea FC,Didier Drogba,,
2011-2012,Chelsea FC,Nicolas Anelka,,
2011-2012,Arsenal FC,Wojciech Szczesny,,
2011-2012,Arsenal FC,Lukasz Fabianski,,
2011-2012,Arsenal FC,Vito Mannone,,
2011-2012,Arsenal FC,Manuel Almunia,,
2011-2012,Arsenal FC,Emiliano Martínez,,
2011-2012,Arsenal FC,Thomas Vermaelen,,
2011-2012,Arsenal FC,Laurent Koscielny,,
2011-2012,Arsenal FC,Per Mertesacker,,
2011-2012,Arsenal FC,Johan Djourou,,
2011-2012,Arsenal FC,Sébastien Squillaci,,
2011-2012,Arsenal FC,Ignasi Miquel,,
2011-2012,Arsenal FC,Daniel Boateng,,
2011-2012,Arsenal FC,André Santos,,
2011-2012,Arsenal FC,Kieran Gibbs,,
2011-2012,Arsenal FC,Armand Traoré,,
2011-2012,Arsenal FC,Jernade Meade,,
2011-2012,Arsenal FC,Bacary Sagna,,
2011-2012,Arsenal FC,Carl Jenkinson,,
2011-2012,Arsenal FC,Alex Song,,
2011-2012,Arsenal FC,Francis Coquelin,,
2011-2012,Arsenal FC,Emmanuel Frimpong,,
2011-2012,Arsenal FC,Nico Yennaris,,
2011-2012,Arsenal FC,Jack Wilshere,,
2011-2012,Arsenal FC,Mikel Arteta,,
2011-2012,Arsenal FC,Alex Oxlade-Chamberlain,,
2011-2012,Arsenal FC,Aaron Ramsey,,
2011-2012,Arsenal FC,Abou Diaby,,
2011-2012,Arsenal FC,Henri Lansbury,,
2011-2012,Arsenal FC,Craig Eastmond,,
2011-2012,Arsenal FC,Oğuzhan Özyakup,,
2011-2012,Arsenal FC,Samir Nasri,,
2011-2012,Arsenal FC,Tomas Rosicky,,
2011-2012,Arsenal FC,Gervinho,,
2011-2012,Arsenal FC,Andrey Arshavin,,
2011-2012,Arsenal FC,Sanchez Watt,,
2011-2012,Arsenal FC,Theo Walcott,,
2011-2012,Arsenal FC,Yossi Benayoun,,
2011-2012,Arsenal FC,Ryo Miyaichi,,
2011-2012,Arsenal FC,Gilles Sunu,,
2011-2012,Arsenal FC,Robin van Persie,,
2011-2012,Arsenal FC,Nicklas Bendtner,,
2011-2012,Arsenal FC,Marouane Chamakh,,
2011-2012,Arsenal FC,Chu-young Park,,
2011-2012,Arsenal FC,Thierry Henry,,
2011-2012,Arsenal FC,Chuks Aneke,,
2011-2012,Tottenham,Heurelho Gomes,,
2011-2012,Tottenham,Brad Friedel,,
2011-2012,Tottenham,Carlo Cudicini,,
2011-2012,Tottenham,Younès Kaboul,,
2011-2012,Tottenham,Michael Dawson,,
2011-2012,Tottenham,Vedran Corluka,,
2011-2012,Tottenham,Sébastien Bassong,,
2011-2012,Tottenham,Steven Caulker,,
2011-2012,Tottenham,William Gallas,,
2011-2012,Tottenham,Ledley King,,
2011-2012,Tottenham,Bongani Khumalo,,
2011-2012,Tottenham,Ryan Nelsen,,
2011-2012,Tottenham,Benoît Assou-Ekotto,,
2011-2012,Tottenham,Danny Rose,,
2011-2012,Tottenham,Kyle Walker,,
2011-2012,Tottenham,Kyle Naughton,,
2011-2012,Tottenham,Adam Smith,,
2011-2012,Tottenham,Ryan Fredericks,,
2011-2012,Tottenham,Jack Barthram,,
2011-2012,Tottenham,Tom Huddlestone,,
2011-2012,Tottenham,Jake Livermore,,
2011-2012,Tottenham,Kevin Stewart,,
2011-2012,Tottenham,Luka Modrić,,
2011-2012,Tottenham,Sandro,,
2011-2012,Tottenham,Scott Parker,,
2011-2012,Tottenham,Jermaine Jenas,,
2011-2012,Tottenham,Dean Parrett,,
2011-2012,Tottenham,John Bostock,,
2011-2012,Tottenham,Massimo Luongo,,
2011-2012,Tottenham,Tom Carroll,,
2011-2012,Tottenham,Jake Nicholson,,
2011-2012,Tottenham,David Bentley,,
2011-2012,Tottenham,Steven Pienaar,,
2011-2012,Tottenham,Rafael van der Vaart,,
2011-2012,Tottenham,Niko Kranjcar,,
2011-2012,Tottenham,Cristian Ceballos,,
2011-2012,Tottenham,Alex Pritchard,,
2011-2012,Tottenham,Simon Dawkins,,
2011-2012,Tottenham,Gareth Bale,,
2011-2012,Tottenham,Aaron Lennon,,
2011-2012,Tottenham,Iago Falque,,
2011-2012,Tottenham,Andros Townsend,,
2011-2012,Tottenham,Giovani dos Santos,,
2011-2012,Tottenham,Emmanuel Adebayor,,
2011-2012,Tottenham,Jermain Defoe,,
2011-2012,Tottenham,Roman Pavlyuchenko,,
2011-2012,Tottenham,Peter Crouch,,
2011-2012,Tottenham,Louis Saha,,
2011-2012,Tottenham,Harry Kane,,
2011-2012,Tottenham,Cameron Lancaster,,
2011-2012,Liverpool FC,Pepe Reina,,
2011-2012,Liverpool FC,Brad Jones,,
2011-2012,Liverpool FC,Doni,,
2011-2012,Liverpool FC,Péter Gulácsi,,
2011-2012,Liverpool FC,Martin Skrtel,,
2011-2012,Liverpool FC,Daniel Agger,,
2011-2012,Liverpool FC,Sebastián Coates,,
2011-2012,Liverpool FC,Jamie Carragher,,
2011-2012,Liverpool FC,Danny Wilson,,
2011-2012,Liverpool FC,Jack Robinson,,
2011-2012,Liverpool FC,José Enrique,,
2011-2012,Liverpool FC,Fábio Aurélio,,
2011-2012,Liverpool FC,Glen Johnson,,
2011-2012,Liverpool FC,Martin Kelly,,
2011-2012,Liverpool FC,Jon Flanagan,,
2011-2012,Liverpool FC,Jordan Henderson,,
2011-2012,Liverpool FC,Lucas Leiva,,
2011-2012,Liverpool FC,Jay Spearing,,
2011-2012,Liverpool FC,Steven Gerrard,,
2011-2012,Liverpool FC,Raúl Meireles,,
2011-2012,Liverpool FC,Charlie Adam,,
2011-2012,Liverpool FC,Jonjo Shelvey,,
2011-2012,Liverpool FC,Stewart Downing,,
2011-2012,Liverpool FC,Maxi Rodríguez,,
2011-2012,Liverpool FC,Craig Bellamy,,
2011-2012,Liverpool FC,Dirk Kuyt,,
2011-2012,Liverpool FC,Raheem Sterling,,
2011-2012,Liverpool FC,Luis Suárez,,
2011-2012,Liverpool FC,Andy Carroll,,
2011-2012,Liverpool FC,David N'Gog,,
2011-2012,Liverpool FC,Nathan Eccleston,,
2011-2012,Everton FC,Tim Howard,,
2011-2012,Everton FC,Jan Mucha,,
2011-2012,Everton FC,Marcus Hahnemann,,
2011-2012,Everton FC,Jack Rodwell,,
2011-2012,Everton FC,Phil Jagielka,,
2011-2012,Everton FC,John Heitinga,,
2011-2012,Everton FC,Sylvain Distin,,
2011-2012,Everton FC,Shkodran Mustafi,,
2011-2012,Everton FC,Shane Duffy,,
2011-2012,Everton FC,Leighton Baines,,
2011-2012,Everton FC,Séamus Coleman,,
2011-2012,Everton FC,Tony Hibbert,,
2011-2012,Everton FC,Phil Neville,,
2011-2012,Everton FC,Marouane Fellaini,,
2011-2012,Everton FC,Mikel Arteta,,
2011-2012,Everton FC,Ross Barkley,,
2011-2012,Everton FC,Leon Osman,,
2011-2012,Everton FC,Darron Gibson,,
2011-2012,Everton FC,James Wallace,,
2011-2012,Everton FC,Adam Forshaw,,
2011-2012,Everton FC,Steven Pienaar,,
2011-2012,Everton FC,Royston Drenthe,,
2011-2012,Everton FC,Diniyar Bilyaletdinov,,
2011-2012,Everton FC,Tim Cahill,,
2011-2012,Everton FC,Jose Baxter,,
2011-2012,Everton FC,James McFadden,,
2011-2012,Everton FC,Nikica Jelavic,,
2011-2012,Everton FC,Landon Donovan,,
2011-2012,Everton FC,Victor Anichebe,,
2011-2012,Everton FC,Jermaine Beckford,,
2011-2012,Everton FC,Magaye Gueye,,
2011-2012,Everton FC,Denis Stracqualursi,,
2011-2012,Everton FC,Apostolos Vellios,,
2011-2012,Everton FC,Louis Saha,,
2011-2012,Everton FC,João Silva,,
2011-2012,Everton FC,Conor McAleny,,
2011-2012,Newcastle,Tim Krul,,
2011-2012,Newcastle,Fraser Forster,,
2011-2012,Newcastle,Steve Harper,,
2011-2012,Newcastle,Rob Elliot,,
2011-2012,Newcastle,Ole Söderberg,,
2011-2012,Newcastle,Fabricio Coloccini,,
2011-2012,Newcastle,Steven Taylor,,
2011-2012,Newcastle,Mike Williamson,,
2011-2012,Newcastle,James Perch,,
2011-2012,Newcastle,Tamás Kádár,,
2011-2012,Newcastle,Jeff Henderson,,
2011-2012,Newcastle,Davide Santon,,
2011-2012,Newcastle,Paul Dummett,,
2011-2012,Newcastle,Danny Simpson,,
2011-2012,Newcastle,Ryan Taylor,,
2011-2012,Newcastle,James Tavernier,,
2011-2012,Newcastle,Cheik Tioté,,
2011-2012,Newcastle,Yohan Cabaye,,
2011-2012,Newcastle,Joey Barton,,
2011-2012,Newcastle,Danny Guthrie,,
2011-2012,Newcastle,Dan Gosling,,
2011-2012,Newcastle,Alan Smith,,
2011-2012,Newcastle,Mehdi Abeid,,
2011-2012,Newcastle,Jonás Gutiérrez,,
2011-2012,Newcastle,Shane Ferguson,,
2011-2012,Newcastle,Hatem Ben Arfa,,
2011-2012,Newcastle,Sylvain Marveaux,,
2011-2012,Newcastle,Sammy Ameobi,,
2011-2012,Newcastle,Gabriel Obertan,,
2011-2012,Newcastle,Ryan Donaldson,,
2011-2012,Newcastle,Haris Vuckic,,
2011-2012,Newcastle,Papiss Demba Cissé,,
2011-2012,Newcastle,Demba Ba,,
2011-2012,Newcastle,Leon Best,,
2011-2012,Newcastle,Shola Ameobi,,
2011-2012,Newcastle,Peter Løvenkrands,,
2011-2012,Newcastle,Nile Ranger,,
2011-2012,Sunderland AFC,Simon Mignolet,,
2011-2012,Sunderland AFC,Craig Gordon,,
2011-2012,Sunderland AFC,Keiren Westwood,,
2011-2012,Sunderland AFC,Trevor Carson,,
2011-2012,Sunderland AFC,Michael Turner,,
2011-2012,Sunderland AFC,John O'Shea,,
2011-2012,Sunderland AFC,Anton Ferdinand,,
2011-2012,Sunderland AFC,Titus Bramble,,
2011-2012,Sunderland AFC,Wes Brown,,
2011-2012,Sunderland AFC,Matthew Kilgallon,,
2011-2012,Sunderland AFC,Sotiris Kyrgiakos,,
2011-2012,Sunderland AFC,John Egan,,
2011-2012,Sunderland AFC,Louis Laing,,
2011-2012,Sunderland AFC,Kieran Richardson,,
2011-2012,Sunderland AFC,Wayne Bridge,,
2011-2012,Sunderland AFC,George McCartney,,
2011-2012,Sunderland AFC,Phil Bardsley,,
2011-2012,Sunderland AFC,Ahmed El Mohamady,,
2011-2012,Sunderland AFC,Marcos Angeleri,,
2011-2012,Sunderland AFC,Lee Cattermole,,
2011-2012,Sunderland AFC,Jack Colback,,
2011-2012,Sunderland AFC,David Vaughan,,
2011-2012,Sunderland AFC,Adam Reed,,
2011-2012,Sunderland AFC,Sebastian Larsson,,
2011-2012,Sunderland AFC,Craig Gardner,,
2011-2012,Sunderland AFC,David Meyler,,
2011-2012,Sunderland AFC,James McClean,,
2011-2012,Sunderland AFC,Stéphane Sessègnon,,
2011-2012,Sunderland AFC,Craig Lynch,,
2011-2012,Sunderland AFC,Asamoah Gyan,,
2011-2012,Sunderland AFC,Nicklas Bendtner,,
2011-2012,Sunderland AFC,Connor Wickham,,
2011-2012,Sunderland AFC,Fraizer Campbell,,
2011-2012,Sunderland AFC,Dong-won Ji,,
2011-2012,Sunderland AFC,Jordan Cook,,
2011-2012,Sunderland AFC,Ryan Noble,,
2011-2012,Aston Villa,Shay Given,,
2011-2012,Aston Villa,Brad Guzan,,
2011-2012,Aston Villa,Andy Marshall,,
2011-2012,Aston Villa,James Collins,,
2011-2012,Aston Villa,Carlos Cuéllar,,
2011-2012,Aston Villa,Richard Dunne,,
2011-2012,Aston Villa,Ciaran Clark,,
2011-2012,Aston Villa,Nathan Baker,,
2011-2012,Aston Villa,Shane Lowry,,
2011-2012,Aston Villa,Derrick Williams,,
2011-2012,Aston Villa,Stephen Warnock,,
2011-2012,Aston Villa,Enda Stevens,,
2011-2012,Aston Villa,Alan Hutton,,
2011-2012,Aston Villa,Luke Young,,
2011-2012,Aston Villa,Eric Lichaj,,
2011-2012,Aston Villa,Habib Beye,,
2011-2012,Aston Villa,Jean Makoun,,
2011-2012,Aston Villa,Chris Herd,,
2011-2012,Aston Villa,Jonathan Hogg,,
2011-2012,Aston Villa,Jermaine Jenas,,
2011-2012,Aston Villa,Barry Bannan,,
2011-2012,Aston Villa,Fabian Delph,,
2011-2012,Aston Villa,Gary Gardner,,
2011-2012,Aston Villa,Stiliyan Petrov,,
2011-2012,Aston Villa,Samir Carruthers,,
2011-2012,Aston Villa,Daniel Johnson,,
2011-2012,Aston Villa,Marc Albrighton,,
2011-2012,Aston Villa,Stephen Ireland,,
2011-2012,Aston Villa,Andreas Weimann,,
2011-2012,Aston Villa,Jack Grealish,,
2011-2012,Aston Villa,Charles N'Zogbia,,
2011-2012,Aston Villa,Graham Burke,,
2011-2012,Aston Villa,Darren Bent,,
2011-2012,Aston Villa,Gabriel Agbonlahor,,
2011-2012,Aston Villa,Robbie Keane,,
2011-2012,Aston Villa,Nathan Delfouneso,,
2011-2012,Aston Villa,Emile Heskey,,
2011-2012,Fulham FC,David Stockdale,,
2011-2012,Fulham FC,Mark Schwarzer,,
2011-2012,Fulham FC,Neil Etheridge,,
2011-2012,Fulham FC,Csaba Somogyi,,
2011-2012,Fulham FC,Brede Hangeland,,
2011-2012,Fulham FC,Philippe Senderos,,
2011-2012,Fulham FC,Aaron Hughes,,
2011-2012,Fulham FC,Matthew Briggs,,
2011-2012,Fulham FC,Rafik Halliche,,
2011-2012,Fulham FC,John Arne Riise,,
2011-2012,Fulham FC,Stephen Kelly,,
2011-2012,Fulham FC,Zdenek Grygera,,
2011-2012,Fulham FC,Mahamadou Diarra,,
2011-2012,Fulham FC,Chris Baird,,
2011-2012,Fulham FC,Dickson Etuhu,,
2011-2012,Fulham FC,Mousa Dembélé,,
2011-2012,Fulham FC,Steve Sidwell,,
2011-2012,Fulham FC,Pajtim Kasami,,
2011-2012,Fulham FC,Danny Murphy,,
2011-2012,Fulham FC,Marcel Gecov,,
2011-2012,Fulham FC,Bjørn Helge Riise,,
2011-2012,Fulham FC,Jonathan Greening,,
2011-2012,Fulham FC,Alex Smith,,
2011-2012,Fulham FC,Tom Donegan,,
2011-2012,Fulham FC,Simon Davies,,
2011-2012,Fulham FC,Bryan Ruiz,,
2011-2012,Fulham FC,Kerim Frei,,
2011-2012,Fulham FC,Damien Duff,,
2011-2012,Fulham FC,Alexander Kacaniklic,,
2011-2012,Fulham FC,Clint Dempsey,,
2011-2012,Fulham FC,Bobby Zamora,,
2011-2012,Fulham FC,Pavel Pogrebnyak,,
2011-2012,Fulham FC,Andy Johnson,,
2011-2012,Fulham FC,Orlando Sá,,
2011-2012,Fulham FC,Lauri Dalla Valle,,
2011-2012,Fulham FC,Marcello Trotta,,
2011-2012,Bolton Wanderers,Ádám Bogdán,,
2011-2012,Bolton Wanderers,Jussi Jääskeläinen,,
2011-2012,Bolton Wanderers,Rob Lainton,,
2011-2012,Bolton Wanderers,Jay Lynch,,
2011-2012,Bolton Wanderers,Gary Cahill,,
2011-2012,Bolton Wanderers,David Wheater,,
2011-2012,Bolton Wanderers,Dedryck Boyata,,
2011-2012,Bolton Wanderers,Tim Ream,,
2011-2012,Bolton Wanderers,Marcos Alonso,,
2011-2012,Bolton Wanderers,Zat Knight,,
2011-2012,Bolton Wanderers,Mark Connolly,,
2011-2012,Bolton Wanderers,Paul Robinson,,
2011-2012,Bolton Wanderers,Ricardo Gardner,,
2011-2012,Bolton Wanderers,Adam Blakeman,,
2011-2012,Bolton Wanderers,Tyrone Mears,,
2011-2012,Bolton Wanderers,Sam Ricketts,,
2011-2012,Bolton Wanderers,Grétar Steinsson,,
2011-2012,Bolton Wanderers,Joe Riley,,
2011-2012,Bolton Wanderers,Sean Davis,,
2011-2012,Bolton Wanderers,Stuart Holden,,
2011-2012,Bolton Wanderers,Fabrice Muamba,,
2011-2012,Bolton Wanderers,Nigel Reo-Coker,,
2011-2012,Bolton Wanderers,Mark Davies,,
2011-2012,Bolton Wanderers,Darren Pratley,,
2011-2012,Bolton Wanderers,Josh Vela,,
2011-2012,Bolton Wanderers,Gregg Wylde,,
2011-2012,Bolton Wanderers,Gaël Kakuta,,
2011-2012,Bolton Wanderers,Tuncay Şanlı,,
2011-2012,Bolton Wanderers,Martin Petrov,,
2011-2012,Bolton Wanderers,Chung-yong Lee,,
2011-2012,Bolton Wanderers,Chris Eagles,,
2011-2012,Bolton Wanderers,Ryo Miyaichi,,
2011-2012,Bolton Wanderers,Michael O'Halloran,,
2011-2012,Bolton Wanderers,Robbie Blake,,
2011-2012,Bolton Wanderers,David N'Gog,,
2011-2012,Bolton Wanderers,Marvin Sordell,,
2011-2012,Bolton Wanderers,Ivan Klasnic,,
2011-2012,Bolton Wanderers,Kevin Davies,,
2011-2012,Stoke City,Asmir Begovic,,
2011-2012,Stoke City,Thomas Sörensen,,
2011-2012,Stoke City,Carlo Nash,,
2011-2012,Stoke City,Robert Huth,,
2011-2012,Stoke City,Ryan Shawcross,,
2011-2012,Stoke City,Marc Wilson,,
2011-2012,Stoke City,Ryan Shotton,,
2011-2012,Stoke City,Jonathan Woodgate,,
2011-2012,Stoke City,Matthew Upson,,
2011-2012,Stoke City,Danny Collins,,
2011-2012,Stoke City,Andrew Davies,,
2011-2012,Stoke City,Danny Higginbotham,,
2011-2012,Stoke City,Danny Pugh,,
2011-2012,Stoke City,Andy Wilkinson,,
2011-2012,Stoke City,Wilson Palacios,,
2011-2012,Stoke City,Glenn Whelan,,
2011-2012,Stoke City,Salif Diao,,
2011-2012,Stoke City,Diego Arismendi,,
2011-2012,Stoke City,Michael Clarkson,,
2011-2012,Stoke City,Dean Whitehead,,
2011-2012,Stoke City,Michael Tonge,,
2011-2012,Stoke City,Rory Delap,,
2011-2012,Stoke City,Tom Soares,,
2011-2012,Stoke City,Lucas Dawson,,
2011-2012,Stoke City,Matthew Etherington,,
2011-2012,Stoke City,Jonathan Walters,,
2011-2012,Stoke City,Jermaine Pennant,,
2011-2012,Stoke City,Peter Crouch,,
2011-2012,Stoke City,Kenwyne Jones,,
2011-2012,Stoke City,Cameron Jerome,,
2011-2012,Stoke City,Ricardo Fuller,,
2011-2012,Stoke City,Mamady Sidibé,,
2011-2012,Queens Park Rangers,Paddy Kenny,,
2011-2012,Queens Park Rangers,Radek Cerny,,
2011-2012,Queens Park Rangers,Brian Murphy,,
2011-2012,Queens Park Rangers,Elvijs Putnins,,
2011-2012,Queens Park Rangers,Nedum Onuoha,,
2011-2012,Queens Park Rangers,Anton Ferdinand,,
2011-2012,Queens Park Rangers,Matthew Connolly,,
2011-2012,Queens Park Rangers,Kaspars Gorkss,,
2011-2012,Queens Park Rangers,Clint Hill,,
2011-2012,Queens Park Rangers,Fitz Hall,,
2011-2012,Queens Park Rangers,Peter Ramage,,
2011-2012,Queens Park Rangers,Danny Shittu,,
2011-2012,Queens Park Rangers,Danny Gabbidon,,
2011-2012,Queens Park Rangers,Bruno Perone,,
2011-2012,Queens Park Rangers,Michael Harriman,,
2011-2012,Queens Park Rangers,Taye Taiwo,,
2011-2012,Queens Park Rangers,Armand Traoré,,
2011-2012,Queens Park Rangers,Bradley Orr,,
2011-2012,Queens Park Rangers,Luke Young,,
2011-2012,Queens Park Rangers,Jordan Gibbons,,
2011-2012,Queens Park Rangers,Samba Diakité,,
2011-2012,Queens Park Rangers,Shaun Derry,,
